iteration,reward_mean,length_mean,games,loss
500,-1.0,2.0,8,0.15887689590454102
1000,-1.0,2.0,9,0.1385745108127594
1500,-1.0,2.0,9,0.106328085064888
2000,-0.89,2.11,9,0.04818268120288849
2500,-0.88,2.12,8,0.05349036306142807
3000,-1.0,2.0,9,0.05624514818191528
3500,-1.0,2.0,8,0.027873985469341278
4000,-1.0,2.0,9,0.04649079218506813
4500,-1.0,2.0,8,0.05611554905772209
5000,-1.0,2.0,8,0.03284359723329544
5500,-0.75,2.25,8,0.01959892176091671
6000,-0.3,2.3,10,0.029663287103176117
6500,-0.12,2.0,8,0.012435846030712128
7000,-0.44,2.11,9,0.01799987256526947
7500,-0.5,2.0,8,0.008141634054481983
8000,-0.25,2.0,8,0.014372561126947403
8500,-0.12,2.0,8,0.025559352710843086
9000,-0.12,2.0,8,0.045765772461891174
9500,-0.12,2.0,8,0.01935187354683876
10000,-0.12,2.0,8,0.013053102418780327
10500,0.0,2.0,8,0.022541355341672897
11000,-0.12,2.0,8,0.010368522256612778
11500,0.12,2.25,8,0.01097038108855486
12000,0.12,2.12,8,0.0066719925962388515
12500,0.0,2.0,8,0.01003074087202549
13000,0.0,2.0,8,0.014402532950043678
13500,0.0,2.0,8,0.01882774941623211
14000,0.12,2.12,8,0.028551317751407623
14500,0.0,2.0,8,0.0036758529022336006
15000,0.38,2.75,8,0.021853575482964516
15500,0.38,2.38,8,0.03512177616357803
16000,0.78,3.0,9,0.0073707387782633305
16500,0.5,2.62,8,0.00638247188180685
17000,0.5,2.62,8,0.008146854117512703
17500,0.44,2.78,9,0.022323492914438248
18000,0.38,2.62,8,0.014050055295228958
18500,0.12,2.12,8,0.011775152757763863
19000,0.62,2.75,8,0.005575121380388737
19500,0.67,2.89,9,0.05225028097629547
20000,0.25,2.25,8,0.04227844625711441
20500,0.75,2.75,8,0.019507678225636482
21000,1.22,3.67,9,0.012558620423078537
21500,0.67,3.11,9,0.033667098730802536
22000,0.62,2.75,8,0.05078345537185669
22500,0.62,2.88,8,0.01863095723092556
23000,0.88,3.12,8,0.02335546910762787
23500,0.88,3.0,8,0.023340092971920967
24000,0.25,2.5,8,0.11136569082736969
24500,0.56,2.78,9,0.1253550946712494
25000,0.78,3.0,9,0.0430460050702095
25500,1.83,4.42,12,0.07903046905994415
26000,1.18,3.55,11,0.04052397981286049
26500,2.75,5.75,8,0.09658697247505188
27000,1.0,3.38,8,0.02151535265147686
27500,2.0,4.6,10,0.026645958423614502
28000,2.12,5.12,8,0.028081517666578293
28500,4.88,7.88,8,0.16197586059570312
29000,3.75,6.75,8,0.12935012578964233
29500,3.12,6.12,8,0.15745209157466888
30000,4.3,7.0,10,0.04335296154022217
30500,6.12,9.12,8,0.21240076422691345
31000,3.25,6.25,8,0.21381591260433197
31500,7.0,10.0,8,0.06729714572429657
32000,5.12,7.62,8,0.05433820188045502
32500,5.75,8.75,8,0.14101411402225494
33000,6.38,9.38,8,0.09391453117132187
33500,6.38,9.38,8,0.07712648063898087
34000,8.0,11.0,8,0.1515132039785385
34500,7.38,10.38,8,0.09349918365478516
35000,7.62,10.62,8,0.24564632773399353
35500,6.75,9.75,8,0.25400015711784363
36000,8.25,11.25,8,0.032562967389822006
36500,7.88,10.88,8,0.035086244344711304
37000,7.88,10.88,8,0.048085518181324005
37500,4.88,7.88,8,0.03653822839260101
38000,7.88,10.88,8,0.03664202243089676
38500,8.88,11.88,8,0.04704928770661354
39000,10.88,13.88,8,0.08362899720668793
39500,8.25,11.25,8,0.14152926206588745
40000,10.38,13.38,8,0.05619368702173233
40500,9.25,12.25,8,0.2205354869365692
41000,9.5,12.5,8,0.11798505485057831
41500,7.12,10.12,8,0.05938728153705597
42000,5.62,8.62,8,0.07431186735630035
42500,5.12,8.12,8,0.04779401421546936
43000,11.25,14.25,8,0.05214923247694969
43500,9.62,12.62,8,0.035196080803871155
44000,10.62,13.62,8,0.05654944106936455
44500,12.62,15.62,8,0.4253179430961609
45000,8.12,11.12,8,0.0713263526558876
45500,9.5,12.5,8,0.06344601511955261
46000,13.75,16.75,8,0.10220816731452942
46500,9.75,12.75,8,0.3858419954776764
47000,12.62,15.62,8,0.04206008091568947
47500,11.38,14.38,8,0.05500739440321922
48000,9.5,12.5,8,0.04454754292964935
48500,12.75,15.75,8,0.09527028352022171
49000,9.12,12.12,8,0.1309398114681244
49500,9.88,12.88,8,0.06046649068593979
50000,7.88,10.88,8,0.03193929046392441
50500,10.88,13.88,8,0.07126950472593307
51000,9.88,12.88,8,0.07886040955781937
51500,14.0,17.0,8,0.0796041190624237
52000,8.5,11.5,8,0.0751531720161438
52500,9.38,12.38,8,0.10010330379009247
53000,13.38,16.38,8,0.10084164142608643
53500,10.0,13.0,8,0.08120758086442947
54000,12.38,15.38,8,0.07356401532888412
54500,15.5,18.5,8,0.047689907252788544
55000,10.38,13.38,8,0.08155325800180435
55500,12.25,15.25,8,0.09879507124423981
56000,11.0,14.0,8,0.07098622620105743
56500,10.25,13.25,8,0.1538669764995575
57000,13.62,16.62,8,0.04021324962377548
57500,15.0,18.0,8,0.08089044690132141
58000,11.12,14.12,8,0.5812035799026489
58500,14.0,17.0,8,0.12994208931922913
59000,16.38,19.38,8,0.20010077953338623
59500,9.25,12.25,8,0.07277428358793259
60000,12.12,15.12,8,0.8640239238739014
60500,14.0,17.0,8,0.07791267335414886
61000,10.38,13.38,8,0.07568910717964172
61500,14.88,17.88,8,0.26803818345069885
62000,15.5,18.5,8,0.09603835642337799
62500,9.0,12.0,8,0.19067829847335815
63000,14.38,17.38,8,0.2615394592285156
63500,11.5,14.5,8,0.08188409358263016
64000,13.5,16.5,8,0.08095160871744156
64500,12.12,15.12,8,0.11487552523612976
65000,14.88,17.88,8,0.15071772038936615
65500,14.12,17.12,8,0.14096948504447937
66000,11.0,14.0,8,0.06387534737586975
66500,18.5,21.5,8,0.05633383244276047
67000,10.5,13.5,8,0.05839096009731293
67500,15.38,18.38,8,0.29236000776290894
68000,12.75,15.75,8,0.04168073832988739
68500,15.25,18.25,8,0.05555859953165054
69000,12.62,15.62,8,0.13741818070411682
69500,11.0,14.0,8,0.07695218920707703
70000,17.88,20.88,8,0.4227597117424011
70500,16.38,19.38,8,0.2507849931716919
71000,16.5,19.5,8,0.0794166550040245
71500,13.0,16.0,8,0.09641048312187195
72000,17.25,20.25,8,0.09544441103935242
72500,15.88,18.88,8,0.17211920022964478
73000,13.0,16.0,8,0.445608913898468
73500,12.78,15.78,9,0.07456962764263153
74000,15.62,18.62,8,0.08746245503425598
74500,12.38,15.38,8,0.1919182986021042
75000,18.0,21.0,8,0.0812389999628067
75500,19.75,22.75,8,0.10192551463842392
76000,15.0,18.0,8,0.0658409371972084
76500,14.62,17.62,8,0.12408781796693802
77000,13.0,16.0,8,0.09401281177997589
77500,18.88,21.88,8,0.06479877233505249
78000,15.25,18.25,8,0.06762619316577911
78500,15.5,18.5,8,0.13625586032867432
79000,12.0,15.0,8,0.08916367590427399
79500,15.38,18.38,8,0.15615667402744293
80000,14.38,17.38,8,0.08749905228614807
80500,15.75,18.75,8,0.1384839415550232
81000,13.25,16.25,8,0.06547020375728607
81500,13.38,16.38,8,0.29466134309768677
82000,19.25,22.25,8,0.2535253167152405
82500,16.75,19.75,8,0.1009855568408966
83000,10.88,13.88,8,0.10593198239803314
83500,17.0,20.0,8,0.08308184146881104
84000,17.0,20.0,8,0.08696333318948746
84500,21.25,24.25,8,0.2691860795021057
85000,21.38,24.38,8,0.06768770515918732
85500,16.62,19.62,8,0.22507433593273163
86000,15.62,18.62,8,0.11871816217899323
86500,16.0,19.0,8,0.08723904192447662
87000,15.62,18.62,8,0.0861230343580246
87500,16.5,19.5,8,0.04181236773729324
88000,16.62,19.62,8,0.14769917726516724
88500,17.5,20.5,8,0.09878339618444443
89000,13.62,16.62,8,0.1154693216085434
89500,15.88,18.88,8,0.17484530806541443
90000,16.75,19.75,8,0.09939876198768616
90500,17.0,20.0,9,0.0733063668012619
91000,14.0,17.0,8,0.05877993255853653
91500,15.38,18.38,8,0.16339701414108276
92000,16.25,19.25,8,0.0468783862888813
92500,15.12,18.12,8,0.13885004818439484
93000,16.62,19.62,8,0.38466817140579224
93500,19.38,22.38,8,0.12729552388191223
94000,12.88,15.88,8,0.08883213996887207
94500,19.75,22.75,8,0.21795335412025452
95000,18.38,21.38,8,0.26625117659568787
95500,17.5,20.5,8,0.0648573786020279
96000,18.12,21.12,8,0.09346397966146469
96500,21.62,24.62,8,0.08170880377292633
97000,16.38,19.38,8,0.08069058507680893
97500,10.25,13.25,8,0.07421065121889114
98000,13.7,16.1,10,0.09707143902778625
98500,15.75,18.75,8,0.05377037823200226
99000,11.0,14.0,8,0.1315927952528
99500,19.25,22.25,8,0.05766471475362778
100000,12.91,15.45,11,1.4976212978363037
100500,19.88,22.88,8,0.03573297709226608
101000,19.62,22.62,8,0.10496024042367935
101500,9.5,12.5,8,0.06684905290603638
102000,11.38,14.38,8,0.06951767206192017
102500,17.62,20.62,8,0.12671223282814026
103000,17.25,20.25,8,0.06577049195766449
103500,12.62,15.62,8,0.1511256992816925
104000,15.38,18.38,8,0.14539147913455963
104500,18.12,21.12,8,0.08024068176746368
105000,22.62,25.62,8,0.8316016793251038
105500,17.12,20.12,8,0.06879153847694397
106000,18.0,21.0,8,0.05819817632436752
106500,19.0,22.0,8,0.0951850488781929
107000,19.12,22.12,8,0.03831537067890167
107500,20.75,23.75,8,0.07742944359779358
108000,15.38,18.38,8,0.06651555001735687
108500,16.62,19.62,8,1.1443564891815186
109000,21.62,24.62,8,0.17932087182998657
109500,15.12,18.12,8,0.1223226934671402
110000,9.62,12.62,8,0.062226809561252594
110500,17.62,20.62,8,0.15776105225086212
111000,13.75,16.75,8,0.11245204508304596
111500,18.38,21.38,8,0.08673103153705597
112000,15.12,18.12,8,0.09948401153087616
112500,17.75,20.75,8,0.1474207639694214
113000,13.5,16.5,8,0.16229206323623657
113500,19.88,22.88,8,0.08518242835998535
114000,9.25,12.25,8,0.1363060474395752
114500,13.12,16.12,8,0.2172297090291977
115000,17.62,20.62,8,0.08715507388114929
115500,10.88,13.88,8,0.13328666985034943
116000,20.38,23.38,8,0.10616905242204666
116500,16.89,19.89,9,0.15027664601802826
117000,20.0,23.0,8,0.14849741756916046
117500,20.38,23.38,8,0.1534591019153595
118000,16.0,19.0,8,0.09947101771831512
118500,19.88,22.88,8,0.0887877494096756
119000,17.62,20.62,8,0.12150561064481735
119500,22.5,25.5,8,0.08615581691265106
120000,21.88,24.88,8,0.09644193947315216
120500,23.5,26.5,8,0.07634997367858887
121000,20.38,23.38,8,0.06882529705762863
121500,23.25,26.25,8,0.05669495463371277
122000,19.0,22.0,8,0.12560570240020752
122500,22.38,25.38,8,0.1593054234981537
123000,13.62,16.62,8,0.05886593461036682
123500,18.62,21.62,8,0.08855877816677094
124000,17.5,20.5,8,0.05400089919567108
124500,18.5,21.5,8,0.11526843905448914
125000,16.0,18.78,9,0.1936950385570526
125500,18.12,21.12,8,0.0766555666923523
126000,22.5,25.5,8,0.09735609591007233
126500,14.62,17.62,8,0.36336690187454224
127000,19.5,22.5,8,0.0476888045668602
127500,16.67,19.67,9,0.2676525413990021
128000,13.75,16.75,8,0.2025287002325058
128500,20.12,23.12,8,0.4059653580188751
129000,17.12,20.12,8,0.07231222093105316
129500,20.75,23.75,8,0.061281099915504456
130000,18.56,21.56,9,0.2002624124288559
130500,18.38,21.38,8,0.19121012091636658
131000,17.12,20.12,8,0.15043017268180847
131500,17.0,20.0,8,0.04683034121990204
132000,18.12,21.12,8,0.07402241975069046
132500,18.0,21.0,8,0.08696627616882324
133000,18.75,21.75,8,0.10830660164356232
133500,23.88,26.88,8,0.07235708832740784
134000,14.5,17.5,8,0.08776142448186874
134500,18.0,21.0,8,0.2983286380767822
135000,15.75,18.75,8,0.09204239398241043
135500,15.88,18.88,8,0.04422419145703316
136000,19.5,22.5,8,0.05261475592851639
136500,21.38,24.38,8,0.06742463260889053
137000,14.5,17.5,8,0.08417285978794098
137500,19.38,22.38,8,0.14788800477981567
138000,14.75,17.75,8,0.1351550817489624
138500,19.62,22.62,8,0.06996738910675049
139000,22.25,25.25,8,0.06615886092185974
139500,19.25,22.25,8,0.08962595462799072
140000,20.25,23.25,8,0.0650479644536972
140500,17.0,20.0,8,0.2786073088645935
141000,16.0,19.0,8,0.07342799752950668
141500,19.75,22.75,8,0.2372296154499054
142000,17.88,20.88,8,0.1477406620979309
142500,16.88,19.88,8,0.07531134784221649
143000,12.75,15.75,8,0.08038601279258728
143500,13.75,16.75,8,0.2678341269493103
144000,19.88,22.88,8,0.1148088127374649
144500,20.25,23.25,8,0.18763738870620728
145000,18.38,21.38,8,0.15706126391887665
145500,16.75,19.75,8,0.0546908974647522
146000,19.12,22.12,8,0.08460985124111176
146500,16.25,19.25,8,0.05031568929553032
147000,12.12,15.12,8,0.10014753043651581
147500,17.75,20.75,8,0.04916076362133026
148000,21.5,24.5,8,0.3254973590373993
148500,17.62,20.62,8,0.2063007354736328
149000,18.0,21.0,8,0.06568882614374161
149500,19.12,22.12,8,0.20154273509979248
150000,16.38,19.38,8,0.15654438734054565
150500,16.5,19.5,8,0.052923496812582016
151000,18.88,21.88,8,0.05242105573415756
151500,20.5,23.5,8,0.11616115272045135
152000,22.12,25.12,8,0.06506705284118652
152500,16.25,19.25,8,0.051312193274497986
153000,18.12,21.12,8,0.11837640404701233
153500,19.5,22.5,8,0.05687201768159866
154000,23.25,26.25,8,0.09360920637845993
154500,20.88,23.88,8,0.09455202519893646
155000,19.5,22.5,8,0.11672593653202057
155500,20.75,23.75,8,0.3285147547721863
156000,12.62,15.12,8,0.1448689103126526
156500,18.0,21.0,8,0.053541235625743866
157000,17.0,20.0,8,0.043674908578395844
157500,23.12,26.12,8,0.411129891872406
158000,19.88,22.88,8,0.06601390242576599
158500,18.75,21.75,8,0.11168495565652847
159000,20.62,23.62,8,0.06072197109460831
159500,15.5,18.5,8,0.5262793302536011
160000,15.88,18.88,8,0.06881111115217209
160500,19.75,22.75,8,0.14154532551765442
161000,13.62,16.62,8,0.14345160126686096
161500,18.75,21.75,8,0.06400236487388611
162000,22.0,25.0,8,0.06804918497800827
162500,19.12,22.12,8,0.07815131545066833
163000,18.5,21.5,8,0.1923357993364334
163500,21.62,24.62,8,0.054332174360752106
164000,14.62,17.62,8,0.05350399762392044
164500,22.0,25.0,8,0.20132240653038025
165000,16.5,19.5,8,0.10647019743919373
165500,13.5,16.5,8,0.06770652532577515
166000,17.38,20.38,8,0.08835279196500778
166500,17.12,20.12,8,0.07109110057353973
167000,15.0,18.0,8,0.04682604968547821
167500,22.12,25.12,8,0.15944629907608032
168000,18.0,21.0,8,0.03893435746431351
168500,16.25,19.25,8,0.0413665845990181
169000,17.62,20.62,8,0.04998541995882988
169500,16.25,19.25,8,0.09396406263113022
170000,21.88,24.88,8,0.051497455686330795
170500,16.25,19.25,8,0.04639871045947075
171000,15.25,18.25,8,0.06579460948705673
171500,20.12,23.12,8,0.05870380252599716
172000,15.38,18.38,8,0.10466095805168152
172500,22.12,25.12,8,0.04863836243748665
173000,22.88,25.88,8,0.08714069426059723
173500,15.38,18.38,8,0.042064301669597626
174000,16.75,19.75,8,0.054319173097610474
174500,17.0,20.0,8,0.07414504140615463
175000,17.88,20.88,8,0.09747645258903503
175500,14.38,17.38,8,0.06349994242191315
176000,20.38,23.38,8,0.15320131182670593
176500,20.38,23.38,8,0.16120967268943787
177000,20.12,23.12,8,0.07686517387628555
177500,15.62,18.62,8,0.07672932744026184
178000,18.25,21.25,8,0.12275595217943192
178500,19.0,22.0,8,0.07473215460777283
179000,22.38,25.38,8,0.12218353152275085
179500,18.25,21.25,8,0.14333119988441467
180000,22.0,25.0,8,0.321452260017395
180500,20.12,23.12,8,0.07292373478412628
181000,19.12,22.12,8,0.09334254264831543
181500,19.12,22.12,8,0.12274433672428131
182000,20.0,23.0,8,0.053215883672237396
182500,21.88,24.88,8,0.07585622370243073
183000,19.88,22.88,8,0.0861310064792633
183500,18.88,21.88,8,0.27035555243492126
184000,19.75,22.75,8,0.06914030760526657
184500,18.0,21.0,8,0.07644905149936676
185000,19.25,22.25,8,0.2747947871685028
185500,19.88,22.88,8,0.09610051661729813
186000,18.75,21.75,8,0.071076400578022
186500,15.38,18.38,8,0.0585288442671299
187000,19.12,22.12,8,0.070949487388134
187500,18.75,21.75,8,0.12345409393310547
188000,17.75,20.75,8,0.07171017676591873
188500,15.18,17.82,11,0.056470293551683426
189000,10.25,13.25,8,0.0813349261879921
189500,21.12,24.12,8,0.05922471731901169
190000,18.25,21.25,8,0.056442856788635254
190500,23.75,26.75,8,0.0870346799492836
191000,22.25,25.25,8,0.05746915936470032
191500,21.11,24.11,9,0.6233204007148743
192000,25.5,28.5,8,0.05580379441380501
192500,21.0,24.0,8,0.22804971039295197
193000,22.38,25.38,8,0.0616033710539341
193500,21.88,24.88,8,0.12077242136001587
194000,14.25,17.25,8,0.10491834580898285
194500,12.88,15.25,8,0.19409163296222687
195000,14.5,17.5,8,0.13327229022979736
195500,21.5,24.5,8,0.05047658085823059
196000,13.0,16.0,8,0.26232320070266724
196500,15.1,17.6,10,0.03473734110593796
197000,18.75,21.75,8,0.058305807411670685
197500,17.25,20.25,8,0.34755733609199524
198000,22.5,25.5,8,0.12352638691663742
198500,15.62,18.62,8,0.06691300868988037
199000,17.62,20.62,8,0.05421854555606842
199500,12.5,15.5,8,0.1191302016377449
200000,17.88,20.88,8,0.130350261926651
